IDENTIFIANT;	NOM;	QUANTITE;	PRIX D'ACHAT;	PREMIER PRIX DE VENTE;	DEUXIEME PRIX DE VENTE
11r;	roulement 6302;	44.0;	300;	500;	500
5r;	roulement 6303;	8.0;	400;	1000;	800
4r;	roulement 6304;	13.0;	500;	1000;	800
3s;	scotch noir;	19.0;	100;	200;	200
12s;	segment CG 125 BAJA D&C;	10.0;	800;	1500;	1500
14s;	segment CG 125 STD+;	5.0;	650;	1500;	1000
7s;	segment CG 150 D&C;	10.0;	650;	1500;	1000
5s;	segment CG 150 JHSY;	23.0;	650;	1500;	1000
6s;	segment CG 200;	5.0;	1000;	2000;	2000
8s;	sélectionneur de vitesse;	4.0;	1000;	2000;	1500
4s;	serre cable;	48.0;	50;	100;	100
9s;	souflet;	10.0;	500;	1000;	1000
1s;	soupape baja DAHE;	8.0;	500;	1500;	1000
13s;	soupape CG 125 SARKI;	5.0;	500;	1500;	1500
10s;	soupape CG 150 JHSY;	16.0;	420;	1500;	1000
11s;	soupape CG 200 JHSY;	5.0;	900;	2000;	1500
2s;	soupape TVS DAHE;	14.0;	500;	1500;	1000
7t;	tendeur chaine BAJA;	8.0;	150;	250;	250
4t;	tendeur chaine carter;	8.0;	200;	400;	400
1t;	tendeur chaine CG;	48.0;	75;	200;	200
3t;	tendeur chaine GN;	14.0;	175;	300;	250
5t;	tendeur chaine moteur TVS;	5.0;	700;	1500;	1300
6t;	tige de frein;	14.0;	250;	500;	500
2t;	tuyau à essence;	98.0;	30;	100;	100
4v;	vilbrequin 3M;	2.0;	9000;	12000;	11000
3v;	vilbrequin DAHE;	4.0;	8500;	12000;	10000
1v;	volant moteur CG 150 JHSY;	3.0;	4500;	6000;	5500
2v;	volant moteur CG 200 JHSY;	1.0;	5000;	7000;	6500
